a1,d,item,question,group,id
2.64349316828743,-1.95695904950111,huske,Verb: Sier barnet…,Prod,item_306
2.48887420611948,-0.813038550298501,leke,Verb: Forstår barnet…,Comp,item_313
3.16164402895095,-0.138560040336669,leke,Verb: Sier barnet…,Prod,item_313
2.70655234925592,-1.99412923480207,ute,Preposisjoner og stedsangivelser: Forstår barnet…,Comp,item_417
2.82161286621015,-1.28893943068928,ute,Preposisjoner og stedsangivelser: Sier barnet…,Prod,item_417
1.44640500936264,-0.807422349184695,ikke,Mengdeord og bestemmerord: Forstår barnet…,Comp,item_420
2.01364420771049,-0.349461323996799,ikke,Mengdeord og bestemmerord: Sier barnet…,Prod,item_420
1.94823220411008,2.10972550742126,nam-nam,Lydeffekter og dyrelyder: Sier barnet…,Prod,item_40
2.68097888026109,1.29608684944123,drikke,Mat og drikke: Sier barnet…,Prod,item_101
3.38115786741881,1.74962669323985,drikke,Verb: Sier barnet…,Prod,item_292
2.13258206870723,3.15503218935832,Strekker armen for å vise noe i hånden?,De første kommuniserende gestene: ,Gest,item_427
2.36173466435718,4.7386731834848,Rekker deg en leke hun/han holder?,De første kommuniserende gestene: ,Gest,item_428
2.5226888232284,2.58067593252412,Peker på noe som fanger oppmerksomheten?,De første kommuniserende gestene: ,Gest,item_429
1.92590655470834,5.16058841715633,Strekker armene opp for å bli løftet?,De første kommuniserende gestene: ,Gest,item_431
1.02583964092614,1.70364502723823,Vil ha noe ved å strekke armen og åpne og lukke hånden?,De første kommuniserende gestene: ,Gest,item_435
2.02179391025871,-1.02566651943677,Sender slengkyss?,De første kommuniserende gestene: ,Gest,item_436
1.65895686783828,-3.32418284510868,Trekker på skuldrene for å vise at man ikke vet?,De første kommuniserende gestene: ,Gest,item_438
1.50783216959663,2.25198449948357,Leker hvor er _____? Der er _____! (Gjemmer ansiktet bak hendene og tar hendene bort),Leker og rutiner: ,Gest,item_439
1.53802638840443,1.16956671620088,Leker at man prøver å fange hverandre.,Leker og rutiner: ,Gest,item_442
1.00461157001668,0.681875001632508,Synger.,Leker og rutiner: ,Gest,item_443
1.92333790495396,2.78866569437624,Danser.,Leker og rutiner: ,Gest,item_444
2.79456498368562,0.956140137635466,Spiser med skje eller gaffel.,Handling med objekter: ,Gest,item_445
1.28371454395316,2.01695605659045,Drikker fra en kopp.,Handling med objekter: ,Gest,item_446
2.39597131828114,-0.592038133986913,Børster eller grer håret sitt selv.,Handling med objekter: ,Gest,item_447
1.61609532308439,0.82124849387275,Pusser tennene.,Handling med objekter: ,Gest,item_448
2.78282884145003,-0.719827943146414,Vasker seg i ansiktet eller hendene med en klut.,Handling med objekter: ,Gest,item_449
2.5761746849835,-0.618902793736204,Setter på seg lue/solhatt selv.,Handling med objekter: ,Gest,item_450
