item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_206;pupp;word;body_parts;nouns;nouns;NA;;206
item_207;rumpe;word;body_parts;nouns;nouns;NA;;207
item_208;rygg;word;body_parts;nouns;nouns;NA;;208
item_209;skulder;word;body_parts;nouns;nouns;NA;;209
item_210;tenner;word;body_parts;nouns;nouns;tooth;;210
item_211;tiss;word;body_parts;nouns;nouns;penis;;211
item_212;tunge;word;body_parts;nouns;nouns;tongue;;212
item_213;tå;word;body_parts;nouns;nouns;toe;;213
item_214;bilde;word;household;nouns;nouns;picture;;214
item_215;boks;word;household;nouns;nouns;NA;;215
item_216;børste;word;household;nouns;nouns;brush (object);;216
item_217;bøtte;word;household;nouns;nouns;NA;;217
item_218;brett;word;household;nouns;nouns;NA;;218
item_219;briller;word;household;nouns;nouns;glasses;;219
item_220;dopapir;word;household;nouns;nouns;NA;;220
item_221;dyne;word;household;nouns;nouns;blanket;;221
item_222;eske;word;household;nouns;nouns;box;;222
item_223;fat;word;household;nouns;nouns;NA;;223
item_224;flaske;word;household;nouns;nouns;bottle;;224
item_225;gåbil;word;household;nouns;nouns;NA;;225
item_226;gaffel;word;household;nouns;nouns;fork;;226
item_227;glass;word;household;nouns;nouns;glass;;227
item_228;hammer;word;household;nouns;nouns;hammer;;228
item_229;håndkle;word;household;nouns;nouns;towel;;229
item_230;kam;word;household;nouns;nouns;comb (object);;230
item_231;kamera;word;household;nouns;nouns;NA;;231
item_232;kasse;word;household;nouns;nouns;NA;;232
item_233;kjøkkenrull;word;household;nouns;nouns;NA;;233
item_234;klokke;word;household;nouns;nouns;clock;;234
item_235;kniv;word;household;nouns;nouns;knife;;235
item_236;kopp;word;household;nouns;nouns;cup;;236
item_237;kost;word;household;nouns;nouns;broom;;237
item_238;krukke;word;household;nouns;nouns;NA;;238
item_239;krus;word;household;nouns;nouns;NA;;239
item_240;lampe;word;household;nouns;nouns;lamp;;240
item_241;lommebok;word;household;nouns;nouns;purse;;241
item_242;lys;word;household;nouns;nouns;light (object);;242
item_243;medisin;word;household;nouns;nouns;medicine;;243
item_244;nøkler;word;household;nouns;nouns;keys;;244
item_245;papir;word;household;nouns;nouns;paper;;245
