item_id,definition,type,category,lexical_category,lexical_class,uni_lemma,complexity_category
item_420,danse,word,action_words,predicates,verbs,dance,
item_421,dele,word,action_words,predicates,verbs,,
item_422,drikke,word,action_words,predicates,verbs,drink (action),
item_423,dytte,word,action_words,predicates,verbs,push,
item_424,elske,word,action_words,predicates,verbs,love,
item_425,fange,word,action_words,predicates,verbs,,
item_426,falle,word,action_words,predicates,verbs,fall,
item_427,finne,word,action_words,predicates,verbs,,
item_428,forte seg,word,action_words,predicates,verbs,hurry,
item_429,få,word,action_words,predicates,verbs,get,
item_430,gi,word,action_words,predicates,verbs,give,
item_431,gjemme,word,action_words,predicates,verbs,,
item_432,gjøre seg ferdig,word,action_words,predicates,verbs,finish,
item_433,gli,word,action_words,predicates,verbs,,
item_434,gråte,word,action_words,predicates,verbs,cry,
item_435,gå,word,action_words,predicates,verbs,walk,
item_436,ha,word,action_words,predicates,verbs,,
item_437,hate,word,action_words,predicates,verbs,,
item_438,helle,word,action_words,predicates,verbs,,
item_439,hente,word,action_words,predicates,verbs,get,
item_440,hjelpe,word,action_words,predicates,verbs,help,
item_441,holde,word,action_words,predicates,verbs,,
item_442,holde øye med,word,action_words,predicates,verbs,watch (action),
item_443,hoppe,word,action_words,predicates,verbs,jump,
item_444,huske,word,action_words,predicates,verbs,swing (action),
item_445,høre,word,action_words,predicates,verbs,,
item_446,høre etter,word,action_words,predicates,verbs,,
item_447,følge etter,word,action_words,predicates,verbs,,
item_448,kaste,word,action_words,predicates,verbs,throw,
item_449,kile,word,action_words,predicates,verbs,tickle,
item_450,kjøpe,word,action_words,predicates,verbs,,
item_451,kjøre,word,action_words,predicates,verbs,drive,
item_452,klappe,word,action_words,predicates,verbs,,
item_453,klatre,word,action_words,predicates,verbs,,
item_454,klemme,word,action_words,predicates,verbs,hug,
item_455,kle på,word,action_words,predicates,verbs,,
item_456,koste,word,action_words,predicates,verbs,,
item_457,kysse,word,action_words,predicates,verbs,kiss,
item_458,lage mat,word,action_words,predicates,verbs,,
item_459,late som,word,action_words,predicates,verbs,,
item_460,putte,word,action_words,predicates,verbs,,
item_461,legge,word,action_words,predicates,verbs,put,
item_462,leke,word,action_words,predicates,verbs,play,
item_463,lese,word,action_words,predicates,verbs,read,
item_464,like,word,action_words,predicates,verbs,,
item_465,lukke,word,action_words,predicates,verbs,close,
item_466,løpe,word,action_words,predicates,verbs,run,
item_467,male,word,action_words,predicates,verbs,,
item_468,mate,word,action_words,predicates,verbs,feed,
item_469,miste,word,action_words,predicates,verbs,,
item_470,reparere,word,action_words,predicates,verbs,,
item_471,passe,word,action_words,predicates,verbs,,
item_472,plaske,word,action_words,predicates,verbs,splash,
item_473,prøve,word,action_words,predicates,verbs,,
item_474,puste,word,action_words,predicates,verbs,,
item_475,ri,word,action_words,predicates,verbs,ride,
item_476,riste,word,action_words,predicates,verbs,,
item_477,rive av,word,action_words,predicates,verbs,,
item_478,rydde,word,action_words,predicates,verbs,clean (action),
item_479,røre,word,action_words,predicates,verbs,,
item_480,se,word,action_words,predicates,verbs,see,
item_481,se på,word,action_words,predicates,verbs,look,
item_482,sette,word,action_words,predicates,verbs,,
