text_type;text;item_type;category
catHeader;Osoby;inflection;verb_person
instr;Gdy Twoje dziecko opowiada o tym, co właśnie...;inflection;verb_person
choiceNames;jeszcze nie, czasem, często;inflection;verb_person
help;Czy odpowiedziałaś_eś na wszystkie pytania?;inflection;verb_person
menuButton;Łączenie słów;combine;
tooltip;Ta zakładka staje się dostępna po zatwierdzeniu odpowiedzi na pytania wstępne.;combine;
header;Łączenie słów;combine;
longText;<strong>UWAGA: Poniższe pytanie oraz sekcja „Zdania” odnoszą się do dzieci, które już znają dość dużo słów. Jeśli Twoje dziecko jeszcze nie łączy słów, zaznacz „Jeszcze nie”, a sekcja „Zdania” pozostanie nieaktywna.</strong>;combine;
help;Po wybraniu odpowiedzi „czasem” lub „często” dostępna stanie się zakładka „Zdania”.;combine;
choiceNames;jeszcze nie,czasem,często;combine;
menuButton;Zdania;sentences;
tooltip;Zakładka „Zdania” staje się dostępna w zależności od odpowiedzi udzielonych w zakładce „Łączenie słów”.;sentences;
catHeader;Trzy najdłuższe zdania;sentences;sentences3
longText;W poniższych polach wpisz zapamiętane lub zanotowane typowe wypowiedzenia dziecka, a także przykłady zdań szczególnie złożonych. Prosimy o podanie przykładów rzeczywistych wypowiedzi dziecka, nawet jeśli uważasz, że dziecko „mówi już wszystko”.;sentences;sentences3
warning;Podaj przykłady trzech najdłuższych zdań, jakie ostatnio słyszałaś_eś od swojego dziecka. Chodzi o wypowiedzi samodzielne, a nie wierszyki, piosenki itp.;sentences;sentences3
catHeader;Przykłady zdań;sentences;alternatives_simple_1
longText;Na kolejnych stronach znajdują się przykłady zdań, które dzieci mogą tworzyć w różnym wieku. Zaznaczając te, które przypominają wypowiedzi Twojego dziecka, nie przejmuj się, jeśli pomyślisz, że Twoje dziecko „źle” wypada. Pytamy tutaj o rzeczy, które pojawiają się w mowie dzieci w różnym wieku, i tak naprawdę dopiero chcemy ustalić, o co i w jakim wieku dziecka warto pytać.<br><br>;sentences;alternatives_simple_1
warning;Poniższe przykłady zdań ułożyliśmy parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Zaznacz wersję, która przypomina wypowiedzi Twojego dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Twoje dziecko mogą być inne (np. inne nazwy potraw czy przedmiotów). Mogą też występować w nich błędy, np. „chciałambym” zamiast „chciałabym”). Jeżeli obie wersje przypominają wypowiedzi Twojego dziecka, możesz zaznaczyć obie, a jeśli Twoje dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, nie zaznaczaj żadnej z nich.;sentences;alternatives_simple_1
catHeader;Przykłady zdań;sentences;alternatives_simple_2
warning;Poniższe przykłady zdań ułożyliśmy parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Zaznacz wersję, która przypomina wypowiedzi Twojego dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Twoje dziecko mogą być inne (np. inne nazwy potraw czy przedmiotów). Mogą też występować w nich błędy, np. „chciałambym” zamiast „chciałabym”). Jeżeli obie wersje przypominają wypowiedzi Twojego dziecka, możesz zaznaczyć obie, a jeśli Twoje dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, nie zaznaczaj żadnej z nich.;sentences;alternatives_simple_2
catHeader;Przykłady zdań;sentences;alternatives_simple_3
