item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
item_388;dette;word;pronouns;function_words;function_words;this;
item_389;din;word;pronouns;function_words;function_words;your;
item_390;du;word;pronouns;function_words;function_words;you;
item_391;hans;word;pronouns;function_words;function_words;his;
item_392;hennes;word;pronouns;function_words;function_words;her;
item_393;jeg;word;pronouns;function_words;function_words;i;
item_394;meg;word;pronouns;function_words;function_words;me;
item_395;min;word;pronouns;function_words;function_words;my;
item_396;hva;word;question_words;function_words;function_words;what;
item_397;hvem;word;question_words;function_words;function_words;who;
item_398;hvor;word;question_words;function_words;function_words;where (question);
item_399;hvordan;word;question_words;function_words;function_words;how;
item_400;hvorfor;word;question_words;function_words;function_words;why;
item_401;når;word;question_words;function_words;function_words;when (question);
item_402;av;word;locations;function_words;function_words;off;
item_403;bak;word;locations;function_words;function_words;back (location);
item_404;bort;word;locations;function_words;function_words;away;
item_405;der;word;locations;function_words;function_words;there;
item_406;i;word;locations;function_words;function_words;in;
item_407;inn;word;locations;function_words;function_words;inside;
item_408;inne;word;locations;function_words;function_words;inside;
item_409;inni;word;locations;function_words;function_words;inside;
item_410;ned;word;locations;function_words;function_words;down;
item_411;nede;word;locations;function_words;function_words;down;
item_412;opp;word;locations;function_words;function_words;up;
item_413;oppe;word;locations;function_words;function_words;up;
item_414;på;word;locations;function_words;function_words;on;
item_415;under;word;locations;function_words;function_words;under;
item_416;ut;word;locations;function_words;function_words;out;
item_417;ute;word;locations;function_words;function_words;out;
item_418;alle;word;quantifiers;function_words;function_words;all;
item_419;en annen;word;quantifiers;function_words;function_words;another;
item_420;ikke;word;quantifiers;function_words;function_words;not;
item_421;ingen;word;quantifiers;function_words;function_words;none;
item_422;ingenting;word;quantifiers;function_words;function_words;nothing;
item_423;mer;word;quantifiers;function_words;function_words;more;
item_424;noe;word;quantifiers;function_words;function_words;some;
item_425;noen;word;quantifiers;function_words;function_words;any;
item_426;samme;word;quantifiers;function_words;function_words;same;
item_427;Strekker armen for å vise noe i hånden?;gestures_first;;;;;
item_428;Rekker deg en leke hun/han holder?;gestures_first;;;;;
item_429;Peker på noe som fanger oppmerksomheten?;gestures_first;;;;;
item_430;Vinker ha det på egen hånd når noen drar?;gestures_first;;;;;
item_431;Strekker armene opp for å bli løftet?;gestures_first;;;;;
item_432;"Rister på hodet for ""nei""?";gestures_first;;;;;
item_433;"Nikker til ""ja?""";gestures_first;;;;;
item_434;Gestikulerer hysj ved fingeren mot munnen?;gestures_first;;;;;
item_435;Vil ha noe ved å strekke armen og åpne og lukke hånden?;gestures_first;;;;;
item_436;Sender slengkyss?;gestures_first;;;;;
item_437;Smatter med leppene - nam-nam- for å vise at noe smaker godt?;gestures_first;;;;;
item_438;Trekker på skuldrene for å vise at man ikke vet?;gestures_first;;;;;
item_439;Leker hvor er _____? Der er _____! (Gjemmer ansiktet bak hendene og tar hendene bort);gestures_games;;;;;
item_440;"Leker ""bake kake søte"" eller andre leker med hender og fingre.";gestures_games;;;;;
item_441;Leker hvor stor er du – sååååååå stor.;gestures_games;;;;;
item_442;Leker at man prøver å fange hverandre.;gestures_games;;;;;
item_443;Synger.;gestures_games;;;;;
item_444;Danser.;gestures_games;;;;;
item_445;Spiser med skje eller gaffel.;gestures_objects;;;;;
item_446;Drikker fra en kopp.;gestures_objects;;;;;
item_447;Børster eller grer håret sitt selv.;gestures_objects;;;;;
item_448;Pusser tennene.;gestures_objects;;;;;
item_449;Vasker seg i ansiktet eller hendene med en klut.;gestures_objects;;;;;
item_450;Setter på seg lue/solhatt selv.;gestures_objects;;;;;
item_451;Tar på seg en sko eller sokk selv.;gestures_objects;;;;;
